customer_id,name,age,gender,email,district,state,country,zone
CUST00001,Brian Harris,40,Other,kjohnson@davidson.com,Siliguri,West Bengal,India,East
CUST00002,Alexandria Harrison,36,Female,dcardenas@cunningham.com,Panipat,Haryana,India,North
CUST00003,Suzanne Smith,28,Other,matthew94@gmail.com,Vijayawada,Andhra Pradesh,India,South
CUST00004,Jacob Owens MD,49,Other,ssweeney@russo.com,Gurgaon,Haryana,India,North
CUST00005,Travis Cummings,62,Female,samanthagray@edwards.com,Mangalore,Karnataka,India,South
CUST00006,Christopher Golden,69,Female,frankvickie@drake.com,Mysuru,Karnataka,India,South
CUST00007,John Smith,37,Other,williammueller@hotmail.com,Jamshedpur,Jharkhand,India,East
CUST00008,Todd Alvarado,18,Female,harrismichelle@spencer-myers.info,Hubli,Karnataka,India,South
CUST00009,Bianca Copeland,43,Male,qfranklin@yahoo.com,Thrissur,Kerala,India,South
CUST00010,Gary Hendricks,69,Male,gardnerandrew@evans.com,Vadodara,Gujarat,India,West
CUST00011,Robert Hinton,22,Female,cookjoshua@gmail.com,Ludhiana,Punjab,India,North
CUST00012,Antonio Villa,46,Male,stevensmith@yahoo.com,Jaipur,Rajasthan,India,West
CUST00013,Matthew Williams,69,Male,ndrake@cox.com,Bokaro,Jharkhand,India,East
CUST00014,Zachary Baker,40,Other,xray@hotmail.com,Lucknow,Uttar Pradesh,India,North
CUST00015,Richard Ball,26,Male,marcus16@yahoo.com,Mangalore,Karnataka,India,South
CUST00016,David Davidson,31,Male,paulclarke@rasmussen-williams.info,Ludhiana,Punjab,India,North
CUST00017,Brian Velasquez,54,Female,kaylamcdaniel@hotmail.com,Patiala,Punjab,India,North
CUST00018,Katherine Gomez DVM,64,Other,cynthiajennings@gmail.com,Dhanbad,Jharkhand,India,East
CUST00019,Glenda Middleton,61,Female,gserrano@yahoo.com,Gurgaon,Haryana,India,North
CUST00020,Julian Garcia,64,Female,johnsonmelanie@frederick.com,Mangalore,Karnataka,India,South
CUST00021,James Smith,45,Other,gjackson@gmail.com,Siliguri,West Bengal,India,East
CUST00022,Bradley Sims,45,Female,whitewesley@wolfe.net,Kanpur,Uttar Pradesh,India,North
CUST00023,Cassandra Collins,30,Female,hallmichael@wu.net,Mysuru,Karnataka,India,South
CUST00024,Richard Ford,43,Other,taylor36@werner.com,Salem,Tamil Nadu,India,South
CUST00025,Alan Vaughn,21,Male,devon00@reid.com,Bhagalpur,Bihar,India,East
CUST00026,Tabitha Sanchez,69,Other,hlewis@sandoval.com,Vasco da Gama,Goa,India,West
CUST00027,Chad Garrett,18,Other,sheryl10@gmail.com,Gaya,Bihar,India,East
CUST00028,Robert Nelson,19,Other,swansonjane@chapman.com,Cuttack,Odisha,India,East
CUST00029,Mark Murray,33,Male,dixonnathan@gmail.com,Varanasi,Uttar Pradesh,India,North
CUST00030,Michael Hood,31,Other,beckkevin@gmail.com,Rajkot,Gujarat,India,West
CUST00031,Molly Cooper,36,Female,cherryrebecca@waters-cantu.com,Rajkot,Gujarat,India,West
CUST00032,Catherine Mcdonald MD,38,Male,asanchez@jensen-davis.org,Cuttack,Odisha,India,East
CUST00033,Katherine Barry,42,Other,johnsonmitchell@martinez-james.net,Vasco da Gama,Goa,India,West
CUST00034,Yvonne French,46,Female,kbrown@yahoo.com,Pune,Maharashtra,India,West
CUST00035,Rebecca Phillips,64,Other,sarah12@rogers-perez.biz,Surat,Gujarat,India,West
CUST00036,Elizabeth Dillon,26,Male,isaac33@guerrero.org,Gurgaon,Haryana,India,North
CUST00037,Stephanie Pierce,34,Other,plee@yahoo.com,Jaipur,Rajasthan,India,West
CUST00038,Debra Johnson,57,Male,william11@hotmail.com,Siliguri,West Bengal,India,East
CUST00039,Jerry Miller,36,Male,xbridges@simmons-prince.com,Vadodara,Gujarat,India,West
CUST00040,Mrs. Amy Cain,60,Male,doughertyjustin@gmail.com,Nashik,Maharashtra,India,West
CUST00041,John Mccall,39,Female,annarice@hotmail.com,Kota,Rajasthan,India,West
CUST00042,Marcus Benjamin,62,Female,griffithsarah@phelps.biz,Muzaffarpur,Bihar,India,East
CUST00043,Amy Meyer,46,Female,jennifer55@francis.net,Panaji,Goa,India,West
CUST00044,Edwin Torres,53,Male,robert92@yahoo.com,Mysuru,Karnataka,India,South
CUST00045,Jason Robinson,63,Female,richardsheather@gmail.com,Kolkata,West Bengal,India,East
CUST00046,Crystal Beard,61,Male,joshuahaynes@newman.com,Faridabad,Haryana,India,North
CUST00047,Laura Richard,26,Female,rmurray@davis-wood.org,Margao,Goa,India,West
CUST00048,Samantha Jenkins,31,Male,brownjamie@gmail.com,Nellore,Andhra Pradesh,India,South
CUST00049,Walter Buck,43,Female,ijones@yahoo.com,Ranchi,Jharkhand,India,East
CUST00050,Rachel Wade,69,Female,brianbrown@lynn-taylor.com,Lucknow,Uttar Pradesh,India,North
CUST00051,Amber Moody,21,Male,oraymond@johnson-osborn.com,Puri,Odisha,India,East
CUST00052,James Foster,57,Female,butlerashley@gmail.com,Mangalore,Karnataka,India,South
CUST00053,Natalie Gross,58,Female,stevehansen@gmail.com,Pune,Maharashtra,India,West
CUST00054,Adam Stephenson,68,Other,yvonneshort@faulkner-frank.com,Siliguri,West Bengal,India,East
CUST00055,Zachary Lee MD,49,Female,antoniosingleton@yahoo.com,North Delhi,Delhi,India,North
CUST00056,Rhonda Lee,68,Female,leonardethan@charles.biz,Bokaro,Jharkhand,India,East
CUST00057,Alejandro Rice,44,Male,jacksonchristopher@yahoo.com,Vasco da Gama,Goa,India,West
CUST00058,Nicole Blair,28,Male,wmartinez@yahoo.com,West Delhi,Delhi,India,North
CUST00059,Daniel Kennedy,30,Other,smithjonathan@hotmail.com,Rourkela,Odisha,India,East
CUST00060,Jordan Graham,44,Other,milleraustin@petty.com,Agra,Uttar Pradesh,India,North
CUST00061,Scott Williams,35,Female,tarmstrong@yahoo.com,Bhagalpur,Bihar,India,East
CUST00062,Joel Blair,51,Male,btaylor@gmail.com,Thiruvananthapuram,Kerala,India,South
CUST00063,Kurt Sanchez,34,Other,plang@hotmail.com,Chennai,Tamil Nadu,India,South
CUST00064,Leah Hernandez,70,Female,chendaniel@mcdowell.net,Mangalore,Karnataka,India,South
CUST00065,Johnny Gonzalez,27,Female,megan19@garza.biz,Gaya,Bihar,India,East
CUST00066,Brian Mercer,26,Male,foxwilliam@gmail.com,Coimbatore,Tamil Nadu,India,South
CUST00067,Sandra Levine,24,Male,santosshannon@gmail.com,Nashik,Maharashtra,India,West
CUST00068,Gloria Brown,60,Male,amber93@hotmail.com,Bhubaneswar,Odisha,India,East
CUST00069,Michael Frye,32,Female,dadams@frye.com,Jalandhar,Punjab,India,North
CUST00070,Antonio Tanner,29,Other,brittney10@hotmail.com,Kolkata,West Bengal,India,East
CUST00071,Brian Edwards,26,Male,pluna@yahoo.com,Vijayawada,Andhra Pradesh,India,South
CUST00072,Aaron Lee DDS,29,Other,mhodges@brown.com,Agra,Uttar Pradesh,India,North
CUST00073,Melinda Murphy,63,Female,seangarcia@gmail.com,Nashik,Maharashtra,India,West
CUST00074,Robin Richards,26,Male,dennisarmstrong@yahoo.com,Mysuru,Karnataka,India,South
CUST00075,Troy Chan,39,Other,lisa77@becker.com,Visakhapatnam,Andhra Pradesh,India,South
CUST00076,Kim Patterson,51,Male,james15@yahoo.com,West Delhi,Delhi,India,North
CUST00077,Tony Ingram,62,Other,henrybryant@hotmail.com,Mysuru,Karnataka,India,South
CUST00078,Joseph Ortiz,37,Female,michele58@yahoo.com,Patiala,Punjab,India,North
CUST00079,Clifford Klein,66,Other,lewisscott@pugh.biz,Lucknow,Uttar Pradesh,India,North
CUST00080,Benjamin Colon DDS,57,Female,treynolds@gmail.com,Varanasi,Uttar Pradesh,India,North
CUST00081,John Camacho,18,Other,gregorysusan@dominguez.com,Kochi,Kerala,India,South
CUST00082,William Fox,43,Male,jacksonlauren@ray.info,Kochi,Kerala,India,South
CUST00083,Cassandra Smith,44,Male,lewismichael@joseph.org,Howrah,West Bengal,India,East
CUST00084,Lee Jacobs,18,Male,ronaldolson@yahoo.com,Vijayawada,Andhra Pradesh,India,South
CUST00085,Christopher Roberts MD,38,Other,joseph68@yahoo.com,Madurai,Tamil Nadu,India,South
CUST00086,William Mcdaniel,39,Female,cesar28@mendoza.info,Guntur,Andhra Pradesh,India,South
CUST00087,William Lawrence,66,Female,kyle83@hotmail.com,Madurai,Tamil Nadu,India,South
CUST00088,Todd Thompson,29,Female,leachkyle@hotmail.com,Chennai,Tamil Nadu,India,South
CUST00089,Tiffany Schmitt,18,Male,kdodson@gmail.com,Guntur,Andhra Pradesh,India,South
CUST00090,David Hayden,39,Other,herreraoscar@hotmail.com,Bokaro,Jharkhand,India,East
CUST00091,Charles Montgomery,61,Male,emyers@yahoo.com,Kozhikode,Kerala,India,South
CUST00092,Todd Bradley,42,Female,piercejacqueline@lawson-williams.net,West Delhi,Delhi,India,North
CUST00093,Teresa Silva,27,Male,joshuamckenzie@hotmail.com,Ludhiana,Punjab,India,North
CUST00094,Patricia Jones,22,Other,jessicamorales@park.com,Jalandhar,Punjab,India,North
CUST00095,Lindsay Fernandez,27,Male,eallen@gmail.com,Chennai,Tamil Nadu,India,South
CUST00096,Jennifer Jimenez,19,Other,jjackson@johnson-anderson.biz,Vasco da Gama,Goa,India,West
CUST00097,David Williams,20,Other,gmitchell@yahoo.com,Nashik,Maharashtra,India,West
CUST00098,Lisa Campos DDS,33,Female,bruce01@diaz-johnson.org,Ranchi,Jharkhand,India,East
CUST00099,Erika Kelley,69,Female,hernandezthomas@yahoo.com,Udaipur,Rajasthan,India,West
CUST00100,Ryan Oconnor,21,Male,susanmeyer@house.org,Rajkot,Gujarat,India,West
CUST00101,Caleb Moore,52,Other,grosschristopher@rubio.com,Patna,Bihar,India,East
CUST00102,Jon Walker,65,Male,umartin@king.info,Udaipur,Rajasthan,India,West
CUST00103,Tyler Welch,55,Female,nicholas29@hill-thomas.info,Mumbai,Maharashtra,India,West
CUST00104,Charles Orr,70,Other,phernandez@hotmail.com,Bokaro,Jharkhand,India,East
